UF,Rodovia,km inicial,km final,Extensão (km),Data,Latitude,Longitude,Observação,ICC,ICP,ICM
,,,,,,,,,,,
,,,,,,,,,,,
PR,BR-476,"277,900","278,000","0,100",05/01/2021,"-25,8683344","-50,3966359",,"62,500","32,500","41,500"
PR,BR-476,"278,000","279,000","1,000",05/01/2021,"-25,8700533","-50,3957804",,"62,500","25,000","36,250"
PR,BR-476,"279,000","280,000","1,000",05/01/2021,"-25,887866","-50,4306543",,"62,500","45,000","50,250"
PR,BR-476,"280,000","281,000","1,000",05/01/2021,"-25,8700533","-50,3957804",,"50,000","32,500","37,750"
PR,BR-476,"281,000","282,000","1,000",05/01/2021,"-25,887866","-50,4306543",,"42,500","47,500","46,000"
PR,BR-476,"282,000","283,000","1,000",05/01/2021,"-25,887866","-50,4306543",,"45,000","32,500","36,250"
PR,BR-476,"283,000","284,000","1,000",05/01/2021,"-25,887866","-50,4306543",,"45,000","52,500","50,250"
PR,BR-476,"284,000","285,000","1,000",05/01/2021,"-25,887866","-50,4306543",,"37,500","32,500","34,000"
PR,BR-476,"285,000","286,000","1,000",05/01/2021,"-25,887866","-50,4306543",,"37,500","25,000","28,750"
PR,BR-476,"286,000","287,000","1,000",05/01/2021,"-25,9092848","-50,445197",,"45,000","32,500","36,250"
PR,BR-476,"287,000","288,000","1,000",05/01/2021,"-25,9092848","-50,445197",,"37,500","45,000","42,750"
PR,BR-476,"288,000","289,000","1,000",05/01/2021,"-25,9092848","-50,445197",,"37,500","25,000","28,750"
PR,BR-476,"289,000","290,000","1,000",05/01/2021,"-25,9311222","-50,4730255",,"37,500","25,000","28,750"
PR,BR-476,"290,000","291,000","1,000",05/01/2021,"-25,9311825","-50,4730169",,"37,500","37,500","37,500"
PR,BR-476,"291,000","292,000","1,000",05/01/2021,"-25,940837","-50,4895295",,"37,500","32,500","34,000"
PR,BR-476,"292,000","293,000","1,000",05/01/2021,"-25,9457255","-50,4979387",,"37,500","52,500","48,000"
PR,BR-476,"293,000","294,000","1,000",05/01/2021,"-25,9506769","-50,5063472",,"62,500","47,500","52,000"
PR,BR-476,"294,000","295,000","1,000",05/01/2021,"-25,9553052","-50,5145481",,"67,500","47,500","53,500"
PR,BR-476,"295,000","296,000","1,000",05/01/2021,"-25,9603131","-50,5227775",,"67,500","47,500","53,500"
PR,BR-476,"296,000","297,000","1,000",05/01/2021,"-25,9652478","-50,5312803",,"67,500","47,500","53,500"
PR,BR-476,"297,000","298,000","1,000",05/01/2021,"-25,9700564","-50,5394454",,"67,500","52,500","57,000"
PR,BR-476,"298,000","299,000","1,000",05/01/2021,"-25,9748978","-50,5477742",,"67,500","52,500","57,000"
PR,BR-476,"299,000","300,000","1,000",05/01/2021,"-25,9797781","-50,5560367",,"67,500","52,500","57,000"
PR,BR-476,"300,000","301,000","1,000",05/01/2021,"-25,9846276","-50,5644966",,"62,500","47,500","52,000"
PR,BR-476,"301,000","302,000","1,000",05/01/2021,"-25,9894533","-50,572826",,"67,500","52,500","57,000"
PR,BR-476,"302,000","303,000","1,000",05/01/2021,"-25,9894533","-50,572826",,"62,500","47,500","52,000"
