UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;Observação;ICMNP
;;;;;;;;;
;;;;;;;;;
AP;BR-210;106,200;107,000;0,800;10/09/2021;0,69520804;-51,3851041;;38,750
AP;BR-210;107,000;108,000;1,000;10/09/2021;0,70481619;-51,4143983;;38,750
AP;BR-210;108,000;109,000;1,000;10/09/2021;0,70481619;-51,4143983;;38,750
AP;BR-210;109,000;110,000;1,000;10/09/2021;0,70481619;-51,4143983;;51,250
AP;BR-210;110,000;111,000;1,000;10/09/2021;0,69295445;-51,4397134;;43,750
AP;BR-210;111,000;112,000;1,000;10/09/2021;0,69295445;-51,4397134;;47,500
AP;BR-210;112,000;113,000;1,000;10/09/2021;0,69295445;-51,4397134;;47,500
AP;BR-210;113,000;114,000;1,000;10/09/2021;0,68576598;-51,4673212;;58,750
AP;BR-210;114,000;115,000;1,000;10/09/2021;0,68576598;-51,4673212;;51,250
AP;BR-210;115,000;116,000;1,000;10/09/2021;0,68576598;-51,4673212;;47,500
AP;BR-210;116,000;117,000;1,000;10/09/2021;0,67616741;-51,4942076;;47,500
AP;BR-210;117,000;118,000;1,000;10/09/2021;0,67616741;-51,4942076;;51,250
AP;BR-210;118,000;119,000;1,000;10/09/2021;0,67540311;-51,5217981;;47,500
AP;BR-210;119,000;120,000;1,000;10/09/2021;0,67540311;-51,5217981;;27,500
AP;BR-210;120,000;121,000;1,000;10/09/2021;0,67540311;-51,5217981;;27,500
AP;BR-210;121,000;122,000;1,000;10/09/2021;0,67540311;-51,5217981;;35,000
AP;BR-210;122,000;123,000;1,000;10/09/2021;0,67169156;-51,5505451;;27,500
AP;BR-210;123,000;124,000;1,000;10/09/2021;0,67169156;-51,5505451;;27,500
AP;BR-210;124,000;125,000;1,000;10/09/2021;0,67169156;-51,5505451;;42,500
AP;BR-210;125,000;126,000;1,000;10/09/2021;0,67169156;-51,5505451;;35,000
AP;BR-210;126,000;127,000;1,000;10/09/2021;0,67169156;-51,5505451;;38,750
AP;BR-210;127,000;128,000;1,000;10/09/2021;0,65473443;-51,5949666;;27,500
AP;BR-210;128,000;129,000;1,000;10/09/2021;0,65473443;-51,5949666;;40,000
AP;BR-210;129,000;130,000;1,000;10/09/2021;0,65473443;-51,5949666;;27,500
AP;BR-210;130,000;131,000;1,000;10/09/2021;0,65473443;-51,5949666;;45,000
AP;BR-210;131,000;132,000;1,000;10/09/2021;0,65473443;-51,5949666;;32,500
AP;BR-210;132,000;133,000;1,000;10/09/2021;0,65473443;-51,5949666;;27,500
AP;BR-210;133,000;134,000;1,000;10/09/2021;0,62742069;-51,6378336;;35,000
AP;BR-210;134,000;135,000;1,000;10/09/2021;0,62742069;-51,6378336;;46,250
AP;BR-210;135,000;136,000;1,000;10/09/2021;0,62742069;-51,6378336;;27,500
AP;BR-210;136,000;137,000;1,000;10/09/2021;0,62742069;-51,6378336;;27,500
AP;BR-210;137,000;138,000;1,000;10/09/2021;0,62312831;-51,6804501;;27,500
AP;BR-210;138,000;139,000;1,000;10/09/2021;0,62278042;-51,6841579;;32,500
AP;BR-210;139,000;140,000;1,000;10/09/2021;0,62278042;-51,6841579;;27,500
