UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;Observação;ICC;ICP;ICM
;;;;;;;;;;;
;;;;;;;;;;;
PA;BR-230;1154,600;1155,000;0,400;01/07/2021;-4,2961779;-55,9583165;;67,500;12,500;29,000
PA;BR-230;1155,000;1156,000;1,000;01/07/2021;-4,2961779;-55,9583165;;67,500;12,500;29,000
PA;BR-230;1156,000;1157,000;1,000;01/07/2021;-4,2961779;-55,9583165;;67,500;12,500;29,000
PA;BR-230;1157,000;1158,000;1,000;01/07/2021;-4,2961779;-55,9583165;;42,500;20,000;26,750
PA;BR-230;1158,000;1159,000;1,000;01/07/2021;-4,2961779;-55,9583165;;42,500;12,500;21,500
PA;BR-230;1159,000;1160,000;1,000;01/07/2021;-4,2961779;-55,9583165;;42,500;12,500;21,500
PA;BR-230;1160,000;1161,000;1,000;01/07/2021;-4,2961779;-55,9583165;;42,500;12,500;21,500
AL;BR-104;108,720;107,000;1,720;02/07/2021;-9,6586377;-35,7332522;;42,500;0,000;12,750
AL;BR-104;107,000;106,000;1,000;02/07/2021;-9,6588132;-35,7329106;;42,500;12,500;21,500
AL;BR-104;106,000;105,000;1,000;02/07/2021;-9,6586543;-35,7332783;;42,500;12,500;21,500
AL;BR-104;105,000;104,000;1,000;02/07/2021;-9,6587452;-35,7331133;;42,500;12,500;21,500
AL;BR-104;104,000;103,000;1,000;02/07/2021;-9,6586746;-35,7332375;;42,500;7,500;18,000
AL;BR-104;103,000;102,000;1,000;02/07/2021;-9,6586746;-35,7332375;;32,500;0,000;9,750
AL;BR-104;102,000;101,000;1,000;02/07/2021;-9,6587722;-35,7329493;;42,500;0,000;12,750
AL;BR-104;101,000;100,000;1,000;02/07/2021;-9,6587722;-35,7329493;;42,500;0,000;12,750
AL;BR-104;100,000;99,000;1,000;02/07/2021;-9,6587453;-35,732975;;42,500;7,500;18,000
AL;BR-104;99,000;98,000;1,000;02/07/2021;-9,6587453;-35,732975;;42,500;0,000;12,750
AL;BR-104;98,000;97,000;1,000;02/07/2021;-9,6587453;-35,732975;;42,500;0,000;12,750
AL;BR-104;97,000;96,000;1,000;02/07/2021;-9,6587285;-35,7329777;;42,500;0,000;12,750
AL;BR-104;96,000;95,000;1,000;02/07/2021;-9,6587285;-35,7329777;;42,500;0,000;12,750
AL;BR-104;95,000;94,000;1,000;02/07/2021;-9,6587285;-35,7329777;;42,500;0,000;12,750
AL;BR-104;94,000;93,000;1,000;02/07/2021;-9,6586657;-35,7330757;;42,500;0,000;12,750
AL;BR-104;93,500;94,000;0,500;02/07/2021;-9,6586657;-35,7330757;;42,500;0,000;12,750
AL;BR-104;94,000;95,000;1,000;02/07/2021;-9,6586739;-35,7331443;;42,500;0,000;12,750
AL;BR-104;95,000;96,000;1,000;02/07/2021;-9,6586739;-35,7331443;;42,500;5,000;16,250
AL;BR-104;96,000;97,000;1,000;02/07/2021;-9,6587311;-35,7329724;;42,500;0,000;12,750
AL;BR-104;97,000;98,000;1,000;02/07/2021;-9,6586938;-35,7329472;;42,500;0,000;12,750
AL;BR-104;98,000;99,000;1,000;02/07/2021;-9,6586938;-35,7329472;;42,500;20,000;26,750
