;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;ICC;ICP;ICM
;;;;;;;;;;
;;;;;;;;;;
RS;BR-470;287,300;286,000;1,300;03/10/2022;-29,6689854;-51,4535742;37,500;10,000;18,250
RS;BR-470;286,000;285,000;1,000;03/10/2022;-29,6570574;-51,454625;37,500;22,500;27,000
RS;BR-470;285,000;284,000;1,000;03/10/2022;-29,6488624;-51,4585463;37,500;10,000;18,250
RS;BR-470;284,000;283,000;1,000;03/10/2022;-29,6408565;-51,4646706;37,500;10,000;18,250
RS;BR-470;283,000;282,000;1,000;03/10/2022;-29,6352173;-51,469479;37,500;10,000;18,250
RS;BR-470;282,000;281,000;1,000;03/10/2022;-29,6180677;-51,4787153;37,500;22,500;27,000
RS;BR-470;281,000;280,000;1,000;03/10/2022;-29,6170097;-51,4736977;27,500;5,000;11,750
RS;BR-470;280,000;279,000;1,000;03/10/2022;-29,6114426;-51,4736261;37,500;5,000;14,750
RS;BR-470;279,000;278,000;1,000;03/10/2022;-29,6180677;-51,4787153;37,500;5,000;14,750
RS;BR-470;278,000;277,000;1,000;03/10/2022;-29,5998466;-51,477845;37,500;17,500;23,500
RS;BR-470;277,000;276,000;1,000;03/10/2022;-29,5896823;-51,4765373;37,500;5,000;14,750
RS;BR-470;276,000;275,000;1,000;03/10/2022;-29,5830696;-51,474494;37,500;5,000;14,750
RS;BR-470;275,000;274,000;1,000;03/10/2022;-29,5746431;-51,4822666;37,500;17,500;23,500
RS;BR-470;274,000;273,000;1,000;03/10/2022;-29,5680811;-51,4851807;27,500;5,000;11,750
RS;BR-470;273,000;272,000;1,000;03/10/2022;-29,5618784;-51,4826921;27,500;17,500;20,500
RS;BR-470;272,000;271,000;1,000;03/10/2022;-29,5539766;-51,4802318;37,500;5,000;14,750
RS;BR-470;271,000;270,000;1,000;03/10/2022;-29,5460637;-51,4844095;37,500;5,000;14,750
RS;BR-470;270,000;269,000;1,000;03/10/2022;-29,5392462;-51,488182;37,500;5,000;14,750
RS;BR-470;269,000;268,000;1,000;03/10/2022;-29,5307322;-51,4858812;27,500;5,000;11,750
RS;BR-470;268,000;267,000;1,000;03/10/2022;-29,5226949;-51,4876517;37,500;5,000;14,750
RS;BR-470;267,000;266,000;1,000;03/10/2022;-29,5193475;-51,4813641;27,500;5,000;11,750
RS;BR-470;266,000;265,000;1,000;03/10/2022;-29,5200685;-51,4735655;27,500;17,500;20,500
RS;BR-470;265,000;264,000;1,000;03/10/2022;-29,5146032;-51,4763376;27,500;5,000;11,750
RS;BR-470;264,000;263,000;1,000;03/10/2022;-29,5146032;-51,4763376;37,500;10,000;18,250
RS;BR-470;263,000;262,000;1,000;03/10/2022;-29,5531978;-51,3924166;27,500;5,000;11,750
RS;BR-470;262,000;261,000;1,000;03/10/2022;-29,5531978;-51,3924166;27,500;30,000;29,250
RS;BR-470;261,000;260,000;1,000;03/10/2022;-29,5531978;-51,3924166;27,500;70,000;57,250
RS;BR-470;260,000;259,000;1,000;03/10/2022;-29,4843533;-51,4856966;27,500;70,000;57,250
