;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;Observação;ICMNP
;;;;;;;;;
;;;;;;;;;
AM;BR-317;452,640;453,000;0,360;03/06/2022;-9,0044838;-67,210727;;88,750
AM;BR-317;453,000;454,000;1,000;03/06/2022;-9,0044838;-67,210727;;88,750
AM;BR-317;454,000;455,000;1,000;03/06/2022;-9,0044838;-67,210727;;88,750
AM;BR-317;455,000;456,000;1,000;03/06/2022;-8,775085;-67,3280322;;88,750
AM;BR-317;456,000;457,000;1,000;03/06/2022;-8,775085;-67,3280322;;88,750
AM;BR-317;457,000;458,000;1,000;03/06/2022;-8,775085;-67,3280322;;82,500
AM;BR-317;458,000;459,000;1,000;03/06/2022;-8,775085;-67,3280322;;71,250
AM;BR-317;459,000;460,000;1,000;03/06/2022;-8,775085;-67,3280322;;63,750
AM;BR-317;460,000;461,000;1,000;03/06/2022;-9,0900094;-67,2510428;;50,000
AM;BR-317;461,000;462,000;1,000;03/06/2022;-9,0900094;-67,2510428;;10,000
AM;BR-317;462,000;463,000;1,000;03/06/2022;-9,0900094;-67,2510428;;11,250
AM;BR-317;463,000;464,000;1,000;03/06/2022;-9,1135594;-67,2590517;;50,000
AM;BR-317;464,000;465,000;1,000;03/06/2022;-9,1135594;-67,2590517;;53,750
AM;BR-317;465,000;466,240;1,240;03/06/2022;-9,1135594;-67,2590517;;11,250
AM;BR-317;478,860;479,000;0,140;03/06/2022;-8,7701609;-67,3317208;;85,000
AM;BR-317;479,000;480,000;1,000;03/06/2022;-8,7701609;-67,3317208;;81,250
AM;BR-317;480,000;481,000;1,000;03/06/2022;-8,7701609;-67,3317208;;85,000
AM;BR-317;481,000;482,000;1,000;03/06/2022;-9,2528452;-67,2870712;;81,250
AM;BR-317;482,000;483,000;1,000;03/06/2022;-9,2528452;-67,2870712;;88,750
AM;BR-317;483,000;484,000;1,000;03/06/2022;-9,2528452;-67,2870712;;88,750
AM;BR-317;484,000;485,000;1,000;03/06/2022;-9,2748365;-67,2975037;;88,750
AM;BR-317;485,000;486,000;1,000;03/06/2022;-9,2748365;-67,2975037;;88,750
AM;BR-317;486,000;487,000;1,000;03/06/2022;-9,2748365;-67,2975037;;88,750
AM;BR-317;487,000;488,000;1,000;03/06/2022;-8,7678178;-67,3333291;;88,750
AM;BR-317;488,000;489,000;1,000;03/06/2022;-8,7678178;-67,3333291;;88,750
AM;BR-317;489,000;490,000;1,000;03/06/2022;-8,7678178;-67,3333291;;88,750
AM;BR-317;490,000;491,000;1,000;03/06/2022;-8,7678178;-67,3333291;;88,750
AM;BR-317;491,000;492,000;1,000;03/06/2022;-8,7678178;-67,3333291;;88,750
AM;BR-317;492,000;493,000;1,000;03/06/2022;-8,7678178;-67,3333291;;88,750
AM;BR-317;493,000;494,000;1,000;03/06/2022;-8,7678178;-67,3333291;;88,750
AM;BR-317;494,000;495,000;1,000;03/06/2022;-9,3326471;-67,278596;;88,750
AM;BR-317;495,000;496,000;1,000;03/06/2022;-9,3403467;-67,2786017;;88,750
