UF,Rodovia,km inicial,km final,Extensão (km),Data,Latitude,Longitude,Observação,ICMNP
,,,,,,,,,
,,,,,,,,,
PA,BR-163,"676,1",677,"0,9",04/07/2022,"-4,2961709","-55,9583062",,"37,5"
PA,BR-163,677,678,1,04/07/2022,"-4,2961709","-55,9583062",,25
PA,BR-163,678,679,1,04/07/2022,"-4,2961709","-55,9583062",,"31,25"
PA,BR-163,679,680,1,04/07/2022,"-4,2961709","-55,9583062",,"37,5"
PA,BR-163,680,681,1,04/07/2022,"-4,2961709","-55,9583062",,"37,5"
PA,BR-163,681,682,1,04/07/2022,"-4,2961709","-55,9583062",,"31,25"
PA,BR-163,682,683,1,04/07/2022,"-4,2961709","-55,9583062",,"31,25"
PA,BR-163,683,684,1,04/07/2022,"-4,2961709","-55,9583062",,"31,25"
PA,BR-163,684,685,1,04/07/2022,"-4,2961709","-55,9583062",,"31,25"
PA,BR-163,685,686,1,04/07/2022,"-4,2961709","-55,9583062",,"33,75"
PA,BR-163,686,687,1,04/07/2022,"-4,2961709","-55,9583062",,15
PA,BR-163,687,688,1,04/07/2022,"-4,2961709","-55,9583062",,15
PA,BR-163,688,689,1,04/07/2022,"-4,2961709","-55,9583062",,40
PA,BR-163,689,690,1,04/07/2022,"-4,2961709","-55,9583062",,"41,25"
PA,BR-163,690,691,1,04/07/2022,"-4,2961709","-55,9583062",,"16,25"
PA,BR-163,691,692,1,04/07/2022,"-4,2961709","-55,9583062",,15
PA,BR-163,692,693,1,04/07/2022,"-4,2961709","-55,9583062",,15
PA,BR-163,693,694,1,04/07/2022,"-4,2961709","-55,9583062",,15
PA,BR-163,694,695,1,04/07/2022,"-4,2961709","-55,9583062",,15
PA,BR-163,695,696,1,04/07/2022,"-4,2961709","-55,9583062",,"27,5"
PA,BR-163,696,697,1,04/07/2022,"-4,2961709","-55,9583062",,"33,75"
PA,BR-163,697,698,1,04/07/2022,"-4,2961709","-55,9583062",,"27,5"
PA,BR-163,698,699,1,04/07/2022,"-4,2961709","-55,9583062",,"22,5"
PA,BR-163,699,700,1,04/07/2022,"-4,2961709","-55,9583062",,"33,75"
PA,BR-163,700,701,1,04/07/2022,"-4,2961709","-55,9583062",,"27,5"
PA,BR-163,701,702,1,04/07/2022,"-4,2961709","-55,9583062",,15
PA,BR-163,702,703,1,04/07/2022,"-4,2961709","-55,9583062",,15
PA,BR-163,703,704,1,04/07/2022,"-4,2961709","-55,9583062",,15
PA,BR-163,704,705,1,04/07/2022,"-4,2961709","-55,9583062",,15
PA,BR-163,"722,1",723,"0,9",04/07/2022,"-4,2961709","-55,9583062",,40
PA,BR-163,723,724,1,04/07/2022,"-4,2961709","-55,9583062",,40
PA,BR-163,724,725,1,04/07/2022,"-4,2961709","-55,9583062",,40
PA,BR-163,"732,68",733,"0,32",04/07/2022,"-4,2961709","-55,9583062",,15
PA,BR-163,733,734,1,04/07/2022,"-4,2961709","-55,9583062",,"47,5"
PA,BR-163,734,735,1,04/07/2022,"-4,2961709","-55,9583062",,"48,75"
PA,BR-163,735,736,1,04/07/2022,"-4,2961709","-55,9583062",,"48,75"
