;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;Observação;ICMNP
;;;;;;;;;
;;;;;;;;;
PA;BR-163;676,1;677,000;0,9;04/07/2022;-4,2961709;-55,9583062;;37,500
PA;BR-163;677,000;678,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;25,000
PA;BR-163;678,000;679,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;31,250
PA;BR-163;679,000;680,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;37,500
PA;BR-163;680,000;681,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;37,500
PA;BR-163;681,000;682,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;31,250
PA;BR-163;682,000;683,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;31,250
PA;BR-163;683,000;684,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;31,250
PA;BR-163;684,000;685,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;31,250
PA;BR-163;685,000;686,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;33,750
PA;BR-163;686,000;687,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;15,000
PA;BR-163;687,000;688,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;15,000
PA;BR-163;688,000;689,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;40,000
PA;BR-163;689,000;690,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;41,250
PA;BR-163;690,000;691,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;16,250
PA;BR-163;691,000;692,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;15,000
PA;BR-163;692,000;693,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;15,000
PA;BR-163;693,000;694,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;15,000
PA;BR-163;694,000;695,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;15,000
PA;BR-163;695,000;696,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;27,500
PA;BR-163;696,000;697,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;33,750
PA;BR-163;697,000;698,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;27,500
PA;BR-163;698,000;699,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;22,500
PA;BR-163;699,000;700,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;33,750
PA;BR-163;700,000;701,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;27,500
PA;BR-163;701,000;702,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;15,000
PA;BR-163;702,000;703,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;15,000
PA;BR-163;703,000;704,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;15,000
PA;BR-163;704,000;705,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;15,000
PA;BR-163;722,100;723,000;0,9000;04/07/2022;-4,2961709;-55,9583062;;40,000
PA;BR-163;723,000;724,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;40,000
PA;BR-163;724,000;725,000;1,0000;04/07/2022;-4,2961709;-55,9583062;;40,000
