;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;ICC;ICP;ICM
;;;;;;;;;;
;;;;;;;;;;
PA;BR-230;115,000;116,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;116,000;117,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;117,000;118,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;118,000;119,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;119,000;120,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;120,000;121,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;121,000;122,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;122,000;123,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;124,000;125,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;125,000;126,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;126,000;127,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;127,000;128,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;128,000;129,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;129,000;130,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;130,000;131,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;131,000;132,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;132,000;133,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;133,000;134,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;134,000;135,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;135,000;136,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;136,000;137,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;137,000;138,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;138,000;139,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;139,000;140,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;140,000;141,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;141,000;142,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;142,000;143,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
PA;BR-230;143,000;144,000;1,000;23/12/2022;-5,1413601;-49,3520482;25,000;0,000;7,500
