UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;Observação;ICC;ICP;ICM
;;;;;;;;;;;
;;;;;;;;;;;
RJ;BR-485;0,000;1,000;1,000;03/01/2022;-22,4893993;-44,5602614;;25,000;35,000;32,000
RJ;BR-485;1,000;2,000;1,000;03/01/2022;-22,4864004;-44,5676323;;25,000;10,000;14,500
RJ;BR-485;2,000;3,000;1,000;03/01/2022;-22,479685;-44,5740589;;25,000;25,000;25,000
RJ;BR-485;3,000;4,000;1,000;03/01/2022;-22,4877686;-44,566228;;25,000;12,500;16,250
RJ;BR-485;4,000;5,000;1,000;03/01/2022;-22,4877686;-44,566228;;25,000;22,500;23,250
RJ;BR-485;5,000;6,000;1,000;03/01/2022;-22,4877686;-44,566228;;25,000;20,000;21,500
RJ;BR-485;6,000;7,000;1,000;03/01/2022;-22,4877686;-44,566228;;25,000;30,000;28,500
RJ;BR-485;7,000;8,000;1,000;03/01/2022;-22,4998516;-44,6250234;;25,000;30,000;28,500
RJ;BR-485;8,000;9,000;1,000;03/01/2022;-22,4531429;-44,6047458;;25,000;42,500;37,250
RJ;BR-485;9,000;10,000;1,000;03/01/2022;-22,4998516;-44,6250234;;25,000;25,000;25,000
RJ;BR-354;0,000;1,000;1,000;03/01/2022;-22,3794502;-44,7539989;;77,500;100,000;93,250
RJ;BR-354;1,000;2,000;1,000;03/01/2022;-22,387619;-44,7505485;;77,500;100,000;93,250
RJ;BR-354;2,000;3,000;1,000;03/01/2022;-22,3859992;-44,7539554;;67,500;100,000;90,250
RJ;BR-354;3,000;4,000;1,000;03/01/2022;-22,3891576;-44,7557642;;77,500;100,000;93,250
RJ;BR-354;4,000;5,000;1,000;03/01/2022;-22,3973749;-44,7575551;;42,500;17,500;25,000
RJ;BR-354;5,000;6,000;1,000;03/01/2022;-22,4032086;-44,7573738;;37,500;45,000;42,750
RJ;BR-354;6,000;7,000;1,000;03/01/2022;-22,4084808;-44,7511263;;42,500;17,500;25,000
RJ;BR-354;7,000;8,000;1,000;03/01/2022;-22,4153133;-44,7508471;;30,000;22,500;24,750
RJ;BR-354;8,000;9,000;1,000;03/01/2022;-22,4162438;-44,7461711;;30,000;35,000;33,500
RJ;BR-354;9,000;10,000;1,000;03/01/2022;-22,4221634;-44,7439265;;52,500;25,000;33,250
RJ;BR-354;10,000;11,000;1,000;03/01/2022;-22,4247652;-44,7418403;;30,000;40,000;37,000
RJ;BR-354;11,000;12,000;1,000;03/01/2022;-22,4313803;-44,7412104;;42,500;12,500;21,500
RJ;BR-354;12,000;13,000;1,000;03/01/2022;-22,4372316;-44,7353755;;37,500;35,000;35,750
RJ;BR-354;13,000;14,000;1,000;03/01/2022;-22,4431937;-44,7323286;;25,000;27,500;26,750
RJ;BR-354;14,000;15,000;1,000;03/01/2022;-22,4445318;-44,7293252;;37,500;5,000;14,750
RJ;BR-354;15,000;16,000;1,000;03/01/2022;-22,4498034;-44,7235282;;25,000;12,500;16,250
RJ;BR-354;16,000;17,000;1,000;03/01/2022;-22,456398;-44,7177591;;25,000;5,000;11,000
RJ;BR-354;17,000;18,000;1,000;03/01/2022;-22,4643043;-44,7174936;;25,000;10,000;14,500
