;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;ICMNP
;;;;;;;;
;;;;;;;;
AM;BR-230;400,600;401,000;0,400;02/03/2023;-7,9215368;-61,5588168;55,000
AM;BR-230;401,000;402,000;1,000;02/03/2023;-7,9215368;-61,5588168;60,000
AM;BR-230;402,000;403,000;1,000;02/03/2023;-7,9215368;-61,5588168;63,750
AM;BR-230;403,000;404,000;1,000;02/03/2023;-7,9215368;-61,5588168;73,750
AM;BR-230;404,000;405,000;1,000;02/03/2023;-7,9215368;-61,5588168;73,750
AM;BR-230;405,000;406,000;1,000;02/03/2023;-7,9215368;-61,5588168;53,750
AM;BR-230;406,000;407,000;1,000;02/03/2023;-7,9215368;-61,5588168;62,500
AM;BR-230;407,000;408,000;1,000;02/03/2023;-7,9215368;-61,5588168;71,250
AM;BR-230;408,000;409,000;1,000;02/03/2023;-7,9215368;-61,5588168;75,000
AM;BR-230;409,000;410,000;1,000;02/03/2023;-7,9215368;-61,5588168;71,250
AM;BR-230;410,000;411,000;1,000;02/03/2023;-7,9215368;-61,5588168;67,500
AM;BR-230;411,000;412,000;1,000;02/03/2023;-7,9215368;-61,5588168;80,000
AM;BR-230;412,000;413,000;1,000;02/03/2023;-7,9215368;-61,5588168;75,000
AM;BR-230;413,000;414,000;1,000;02/03/2023;-7,9215368;-61,5588168;76,250
AM;BR-230;414,000;415,000;1,000;02/03/2023;-7,9215368;-61,5588168;76,250
AM;BR-230;415,000;416,000;1,000;02/03/2023;-7,9215368;-61,5588168;73,750
AM;BR-230;416,000;417,000;1,000;02/03/2023;-7,9215368;-61,5588168;92,500
AM;BR-230;417,000;418,000;1,000;02/03/2023;-7,9215368;-61,5588168;85,000
AM;BR-230;418,000;419,000;1,000;02/03/2023;-7,9206312;-61,5598846;83,750
AM;BR-230;419,000;420,000;1,000;02/03/2023;-7,9206312;-61,5598846;88,750
AM;BR-230;420,000;421,000;1,000;02/03/2023;-7,9267394;-61,5141852;77,500
AM;BR-230;421,000;422,000;1,000;02/03/2023;-7,9267394;-61,5141852;83,750
AM;BR-230;422,000;423,000;1,000;02/03/2023;-7,9267394;-61,5141852;77,500
AM;BR-230;423,000;424,000;1,000;02/03/2023;-7,9088494;-61,5364074;80,000
AM;BR-230;424,000;425,000;1,000;02/03/2023;-7,9088494;-61,5364074;80,000
AM;BR-230;425,000;426,000;1,000;02/03/2023;-7,9170069;-61,5518498;83,750
AM;BR-230;426,000;427,000;1,000;02/03/2023;-7,9215071;-61,5588181;86,250
AM;BR-230;427,000;428,000;1,000;02/03/2023;-7,9215071;-61,5588181;86,250
AM;BR-230;428,000;429,000;1,000;02/03/2023;-7,9215071;-61,5588181;87,500
AM;BR-230;429,000;430,000;1,000;02/03/2023;-7,9215071;-61,5588181;90,000
AM;BR-230;430,000;431,000;1,000;02/03/2023;-7,9215071;-61,5588181;83,750
AM;BR-230;431,000;432,000;1,000;02/03/2023;-7,9215071;-61,5588181;91,250
AM;BR-230;432,000;433,000;1,000;02/03/2023;-7,9215071;-61,5588181;83,750
