;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;ICMNP
;;;;;;;;
;;;;;;;;
AM;BR-307;1333,800;1334,000;0,200;03/05/2023;-0,12624973;-67,0331195;65,000
AM;BR-307;1334,000;1335,000;1,000;03/05/2023;-0,12624973;-67,0331195;53,750
AM;BR-307;1335,000;1336,000;1,000;03/05/2023;-0,11831592;-67,0275686;60,000
AM;BR-307;1336,000;1337,000;1,000;03/05/2023;-0,10935512;-67,0248517;83,750
AM;BR-307;1337,000;1338,000;1,000;03/05/2023;-0,10070353;-67,0206667;83,750
AM;BR-307;1338,000;1339,000;1,000;03/05/2023;-0,09571081;-67,0153949;70,000
AM;BR-307;1339,000;1340,000;1,000;03/05/2023;-0,08728834;-67,011286;60,000
AM;BR-307;1340,000;1341,000;1,000;03/05/2023;-0,08028903;-67,0055127;58,750
AM;BR-307;1341,000;1342,000;1,000;03/05/2023;-0,07268057;-67,0013508;62,500
AM;BR-307;1342,000;1343,000;1,000;03/05/2023;-0,06546987;-66,9980595;52,500
AM;BR-307;1343,000;1344,000;1,000;03/05/2023;-0,061818;-66,9883669;52,500
AM;BR-307;1344,000;1345,000;1,000;03/05/2023;-0,06062278;-66,9814945;52,500
AM;BR-307;1345,000;1346,000;1,000;03/05/2023;-0,05826198;-66,9731878;62,500
AM;BR-307;1346,000;1347,000;1,000;03/05/2023;-0,05186478;-66,9657609;52,500
AM;BR-307;1347,000;1348,000;1,000;03/05/2023;-0,04746948;-66,959046;52,500
AM;BR-307;1348,000;1349,000;1,000;03/05/2023;-0,04492406;-66,9508916;52,500
AM;BR-307;1349,000;1350,000;1,000;03/05/2023;-0,04173986;-66,942403;52,500
AM;BR-307;1350,000;1351,000;1,000;03/05/2023;-0,0338299;-66,9385263;52,500
AM;BR-307;1351,000;1352,000;1,000;03/05/2023;-0,02616507;-66,9335933;52,500
AM;BR-307;1352,000;1353,000;1,000;03/05/2023;-0,01795005;-66,9305069;52,500
AM;BR-307;1353,000;1354,000;1,000;03/05/2023;-0,01113904;-66,9257071;52,500
AM;BR-307;1354,000;1355,000;1,000;03/05/2023;-0,00477244;-66,9200355;66,250
AM;BR-307;1355,000;1356,000;1,000;03/05/2023;0,003652079;-66,91598;52,500
AM;BR-307;1356,000;1357,000;1,000;03/05/2023;0,011687893;-66,9120824;52,500
AM;BR-307;1357,000;1358,000;1,000;03/05/2023;0,016048117;-66,9045667;58,750
AM;BR-307;1358,000;1359,000;1,000;03/05/2023;0,017582257;-66,8961722;52,500
AM;BR-307;1359,000;1360,000;1,000;03/05/2023;0,016711042;-66,8869604;52,500
AM;BR-307;1360,000;1361,000;1,000;03/05/2023;0,018956889;-66,8789724;52,500
AM;BR-307;1361,000;1362,000;1,000;03/05/2023;0,025477549;-66,8734407;52,500
AM;BR-307;1362,000;1363,000;1,000;03/05/2023;0,033257673;-66,8690066;52,500
AM;BR-307;1363,000;1364,000;1,000;03/05/2023;0,040346751;-66,864057;52,500
AM;BR-307;1364,000;1365,000;1,000;03/05/2023;0,045411223;-66,8584692;52,500
