UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;ICMNP
;;;;;;;;
;;;;;;;;
RO;BR-421;36,900;37,000;0,100;03/10/2023;-10,3622537;-63,4311577;58,750
RO;BR-421;37,000;38,000;1,000;03/10/2023;-10,3622537;-63,4311577;76,250
RO;BR-421;38,000;39,000;1,000;03/10/2023;-10,3622537;-63,4311577;70,000
RO;BR-421;39,000;40,000;1,000;03/10/2023;-10,3622537;-63,4311577;80,000
RO;BR-421;40,000;41,000;1,000;03/10/2023;-10,3622537;-63,4311577;80,000
RO;BR-421;41,000;42,000;1,000;03/10/2023;-10,3622537;-63,4311577;76,250
RO;BR-421;42,000;43,000;1,000;03/10/2023;-10,3622537;-63,4311577;80,000
RO;BR-421;43,000;44,000;1,000;03/10/2023;-10,3622537;-63,4311577;83,750
RO;BR-421;44,000;45,000;1,000;03/10/2023;-10,3622537;-63,4311577;83,750
RO;BR-421;45,000;46,000;1,000;03/10/2023;-10,3622537;-63,4311577;83,750
AM;BR-319;631,000;630,000;1,000;03/10/2023;-7,58652655;-63,1500892;65,000
AM;BR-319;630,000;629,000;1,000;03/10/2023;-7,58652655;-63,1500892;72,500
AM;BR-319;629,000;628,000;1,000;03/10/2023;-7,58652655;-63,1500892;72,500
AM;BR-319;628,000;627,000;1,000;03/10/2023;-7,58652655;-63,1500892;93,750
AM;BR-319;627,000;626,000;1,000;03/10/2023;-7,58652655;-63,1500892;93,750
AM;BR-319;626,000;625,000;1,000;03/10/2023;-7,58652655;-63,1500892;90,000
AM;BR-319;625,000;624,000;1,000;03/10/2023;-7,58652655;-63,1500892;93,750
AM;BR-319;624,000;623,000;1,000;03/10/2023;-7,58652655;-63,1500892;90,000
AM;BR-319;623,000;622,000;1,000;03/10/2023;-7,58652655;-63,1500892;72,500
AM;BR-319;622,000;621,000;1,000;03/10/2023;-7,58652655;-63,1500892;78,750
AM;BR-319;621,000;620,000;1,000;03/10/2023;-7,58652655;-63,1500892;82,500
AM;BR-319;620,000;619,000;1,000;03/10/2023;-7,58652655;-63,1500892;78,750
AM;BR-319;619,000;618,000;1,000;03/10/2023;-7,58652655;-63,1500892;90,000
AM;BR-319;618,000;617,000;1,000;03/10/2023;-7,58652655;-63,1500892;82,500
AM;BR-319;617,000;616,000;1,000;03/10/2023;-7,58652655;-63,1500892;72,500
AM;BR-319;616,000;615,000;1,000;03/10/2023;-7,58652655;-63,1500892;82,500
AM;BR-319;615,000;614,000;1,000;03/10/2023;-7,58652655;-63,1500892;82,500
AM;BR-319;614,000;613,000;1,000;03/10/2023;-7,58652655;-63,1500892;32,500
AM;BR-319;613,000;612,000;1,000;03/10/2023;-7,58652655;-63,1500892;32,500
AM;BR-319;612,000;611,000;1,000;03/10/2023;-7,58652655;-63,1500892;32,500
AM;BR-319;611,000;610,000;1,000;03/10/2023;-7,58652655;-63,1500892;32,500
AM;BR-319;610,000;609,000;1,000;03/10/2023;-7,58652655;-63,1500892;32,500
AM;BR-319;609,000;608,000;1,000;03/10/2023;-7,58652655;-63,1500892;32,500
AM;BR-319;608,000;607,000;1,000;03/10/2023;-7,58652655;-63,1500892;32,500
