;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;ICMNP
;;;;;;;;
;;;;;;;;
AM;BR-317;526,000;525,000;1,000;01/06/2023;0;0;98,750
AM;BR-317;525,000;524,000;1,000;01/06/2023;0;0;98,750
AM;BR-317;524,000;523,000;1,000;01/06/2023;0;0;98,750
AM;BR-317;523,000;522,000;1,000;01/06/2023;0;0;98,750
AM;BR-317;522,000;521,000;1,000;01/06/2023;0;0;98,750
AM;BR-317;521,000;520,000;1,000;01/06/2023;0;0;98,750
AM;BR-317;520,000;519,000;1,000;01/06/2023;0;0;98,750
AM;BR-317;519,000;518,000;1,000;01/06/2023;0;0;98,750
AM;BR-317;518,000;517,000;1,000;01/06/2023;0;0;98,750
AM;BR-317;517,000;516,000;1,000;01/06/2023;0;0;98,750
AM;BR-230;609,200;608,000;1,200;06/06/2023;-7,51522468;-63,0344069;68,750
AM;BR-230;608,000;607,000;1,000;06/06/2023;-7,51522468;-63,0344069;57,500
AM;BR-230;607,000;606,000;1,000;06/06/2023;-7,51522468;-63,0344069;68,750
AM;BR-230;606,000;605,000;1,000;06/06/2023;-7,51522468;-63,0344069;65,000
AM;BR-230;605,000;604,000;1,000;06/06/2023;-7,51522468;-63,0344069;62,500
AM;BR-230;604,000;603,000;1,000;06/06/2023;-7,51522468;-63,0344069;40,000
AM;BR-230;603,000;602,000;1,000;06/06/2023;-7,51522468;-63,0344069;68,750
AM;BR-230;602,000;601,000;1,000;06/06/2023;-7,51522468;-63,0344069;68,750
AM;BR-230;601,000;600,000;1,000;06/06/2023;-7,51522468;-63,0344069;68,750
AM;BR-230;600,000;599,000;1,000;06/06/2023;-7,51522468;-63,0344069;67,500
AM;BR-230;599,000;598,000;1,000;06/06/2023;-7,51522468;-63,0344069;68,750
AM;BR-230;598,000;597,000;1,000;06/06/2023;-7,51522468;-63,0344069;82,500
AM;BR-230;597,000;596,000;1,000;06/06/2023;-7,51522468;-63,0344069;93,750
AM;BR-230;596,000;595,000;1,000;06/06/2023;-7,51522468;-63,0344069;93,750
AM;BR-230;595,000;594,000;1,000;06/06/2023;-7,51522468;-63,0344069;86,250
AM;BR-230;594,000;593,000;1,000;06/06/2023;-7,51522468;-63,0344069;86,250
AM;BR-230;593,000;592,000;1,000;06/06/2023;-7,51522468;-63,0344069;86,250
AM;BR-230;592,000;591,000;1,000;06/06/2023;-7,51522468;-63,0344069;86,250
AM;BR-230;591,000;590,000;1,000;06/06/2023;-7,51522468;-63,0344069;93,750
AM;BR-230;590,000;589,000;1,000;06/06/2023;-7,51522468;-63,0344069;86,250
AM;BR-230;589,000;588,000;1,000;06/06/2023;-7,51522468;-63,0344069;70,000
AM;BR-230;588,000;587,000;1,000;06/06/2023;-7,51522468;-63,0344069;72,500
AM;BR-230;587,000;586,000;1,000;06/06/2023;-7,51522468;-63,0344069;83,750
AM;BR-230;586,000;585,000;1,000;06/06/2023;-7,51522468;-63,0344069;83,750
AM;BR-230;585,000;584,000;1,000;06/06/2023;-7,51522468;-63,0344069;83,750
