;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;ICMNP;
;;;;;;;;;
;;;;;;;;;
AM;BR-230;642,600;643,000;0,400;03/07/2023;-7,52477;-63,0381219;75,000;
AM;BR-230;643,000;644,000;1,000;03/07/2023;-7,52477;-63,0381219;75,000;
AM;BR-230;644,000;645,000;1,000;03/07/2023;-7,52477;-63,0381219;75,000;
AM;BR-230;645,000;646,000;1,000;03/07/2023;-7,52477;-63,0381219;78,750;
AM;BR-230;646,000;647,000;1,000;03/07/2023;-7,52477;-63,0381219;75,000;
AM;BR-230;647,000;648,000;1,000;03/07/2023;-7,52477;-63,0381219;75,000;
AM;BR-230;648,000;649,000;1,000;03/07/2023;-7,52477;-63,0381219;75,000;
AM;BR-230;649,000;650,000;1,000;03/07/2023;-7,52477;-63,0381219;75,000;
AM;BR-230;650,000;651,000;1,000;03/07/2023;-7,52477;-63,0381219;75,000;
AM;BR-230;651,000;652,000;1,000;03/07/2023;-7,5217864;-63,0244299;75,000;
AM;BR-230;652,000;653,000;1,000;03/07/2023;-7,5217864;-63,0244299;75,000;
AM;BR-230;653,000;654,000;1,000;03/07/2023;-7,5217864;-63,0244299;78,750;
AM;BR-230;654,000;655,000;1,000;03/07/2023;-7,5217864;-63,0244299;78,750;
AM;BR-230;655,000;656,000;1,000;03/07/2023;-7,5058364;-63,0209514;78,750;
AM;BR-230;656,000;657,000;1,000;03/07/2023;-7,5058364;-63,0209514;75,000;
AM;BR-230;657,000;658,000;1,000;03/07/2023;-7,5058364;-63,0209514;75,000;
AM;BR-230;658,000;659,000;1,000;03/07/2023;-7,5058364;-63,0209514;75,000;
AM;BR-230;659,000;660,000;1,000;03/07/2023;-7,5058364;-63,0209514;75,000;
AM;BR-230;660,000;661,000;1,000;03/07/2023;-7,5058364;-63,0209514;75,000;
AM;BR-230;661,000;662,000;1,000;03/07/2023;-7,5058364;-63,0209514;86,250;
AM;BR-230;662,000;663,000;1,000;03/07/2023;-7,5058364;-63,0209514;78,750;
AM;BR-230;663,000;664,000;1,000;03/07/2023;-7,5058364;-63,0209514;28,750;
AM;BR-230;664,000;665,000;1,000;03/07/2023;-7,5058364;-63,0209514;31,250;
AM;BR-230;665,000;666,000;1,000;03/07/2023;-7,5058364;-63,0209514;31,250;
AM;BR-230;666,000;667,000;1,000;03/07/2023;-7,5058364;-63,0209514;28,750;
AM;BR-230;667,000;668,000;1,000;03/07/2023;-7,5058364;-63,0209514;28,750;
AM;BR-230;668,000;669,000;1,000;03/07/2023;-7,5058364;-63,0209514;28,750;
AM;BR-230;669,000;670,000;1,000;03/07/2023;-7,5058364;-63,0209514;28,750;
AM;BR-230;670,000;671,000;1,000;03/07/2023;-7,5058364;-63,0209514;28,750;
AM;BR-230;671,000;672,000;1,000;03/07/2023;-7,5058364;-63,0209514;28,750;
AM;BR-230;672,000;673,000;1,000;03/07/2023;-7,5058364;-63,0209514;28,750;
AM;BR-230;673,000;674,000;1,000;03/07/2023;-7,5058364;-63,0209514;28,750;
